Ordre,Nom cançó,observacions
1,Blanca Nit,
2,Smooth Criminal,
3,La Santa Espina,
4,La Camisa Negra,
5,La Bomba,
6,La Flauta Magica,
7,Asereje,
8,Salut Vila de Baga,
9,La Sirenita,
10,Highway to Hell,
11,Un Beso y una Flor,
12,Loca,
13,Dale don Dale,
14,Paraules d'Amor,
15,Olvidame y Pega la Vuelta,
16,Devorame Otra Vez,
17,30 de Enero,
18,Rayando el Sol,
19,Bon Dia,
20,Cuando tu Vas,
